,Product_ID,Review_ID,Sentence_ID,Sentence,Clean_Sentences,Frequent_Features,Classes,Opinion Words,Effective_Opinions,Infrequent_Features,sentiment_by_adjective_polarity
74,1.0,8.0,75.0,I just uninstalled SystemWorks and Internet Security for at least the fifth time due to funtionality issues.,uninstal systemwork internet secur fifth time funtion issu,"['systemworks internet security', 'systemworks security', 'systemworks internet', 'internet security', 'time', 'systemworks', 'security', 'internet']",-1,{'fifth'},{'fifth'},['fifth time'],0
75,1.0,8.0,76.0,"Once again it won't reinstall, even with online and email assistance from Symantect Technicians.",onc wo not_reinstal onlin email assist symantect technician,['email'],-1,{'online'},set(),['online assistance'],0
76,1.0,8.0,77.0,"The best thing to do with this version, is to leave it on the store shelf. It doesn't work, and will cost you an enormous amount of your time, not to mention your hard earned dollars.",best thing version leav store shelf doe not_work cost enorm time not_to mention hard earn dollar,"['versions', 'time', 'thing', 'costs']",-1,"{'enormous', 'best'}",{'best'},"['enormous time', 'best version']",1
84,1.0,9.0,85.0,"The program brings more problems than a virus, albeit not as major problems, just not what you expect for 70 bucks.",program bring problem virus albeit not_a major problem not_what expect buck,"['virus', 'program', 'problems']",-1,{'major'},set(),['major problems'],1
87,1.0,10.0,88.0,"So I e-mailed the online tech support with that simple question, and got a reply which was totally unresponsive (it looked as though they didn't actually read the e-mail and just sent back a few boilerplate paragraphs).",e mail onlin tech support simpl question got repli total unrespons look not_actu read e mail sent boilerpl paragraph,"['tech support', 'tech', 'support']",-1,"{'unresponsive', 'online', 'simple'}",{'online'},['simple question'],0
88,1.0,10.0,89.0,"And, when you think about it, it's insulting that Norton requires its customers to jump through these hoops -- anyone who can provide proof of purchase, whether on the phone or online (what if your computer is down?), should have equal priority.",think insult norton requir custom jump hoop anyon provid proof purchas phone onlin comput equal prioriti,"['norton', 'customer', 'computer']",-1,{'equal'},set(),['equal priority'],0
89,1.0,10.0,90.0,"I may not be a computer expert but I am perfectly capable of following detailed instructions, and Norton just makes life way too hard.",not_b comput expert perfect capabl follow detail instruct norton life way hard,"['way', 'norton', 'instructions', 'computer']",0,"{'detailed', 'capable'}",set(),['detailed instructions'],1
90,1.0,10.0,91.0,"Plus, when Norton provided online updates, there were so many unexplained categories (about 15 over and above virus definitions)",plus norton provid onlin updat mani unexplain categori abov virus definit,"['virus definitions', 'virus', 'updates', 'norton', 'definitions']",0,"{'online', 'unexplained'}",set(),"['unexplained categories', 'online updates']",-1
96,1.0,11.0,97.0,If you want integrated Antivirus and Firewall this is what I'd suggest.,want integr antivirus firewal suggest,"['firewall antivirus', 'firewall', 'antivirus']",0,{'integrated'},{'integrated'},['integrated firewall'],0
97,1.0,11.0,98.0,Norton's memory usage on systems with 512 MB is very low.,norton memori usag system mb veri low,"['system', 'norton', 'memory']",1,{'low'},set(),['norton systems'],0
99,1.0,11.0,100.0,I just got an older 866 Mhz system with 512 PC 133 RAM and it also runs fine on that.,got older mhz system pc ram run fine,"['system', 'pc']",1,"{'older', 'fine'}",{'older'},['older mhz'],1
108,1.0,12.0,109.0,"I don't know what's happened to Norton, but 2004 is absolute garbage.",not_know happen norton absolut garbag,['norton'],-1,{'absolute'},set(),['norton garbage'],1
109,1.0,12.0,110.0,"Apparently, they can't even fix the bugs that have overrun their own site.",appar not_even fix bug overrun site,['site'],0,set(),{'own'},[],1
110,1.0,12.0,111.0,The customer support is pathetic.,custom support pathet,"['support', 'customer']",-1,{'pathetic'},set(),[],-1
111,1.0,13.0,112.0,I have found too many bugs in Norton Internet Security Professional to recommend it to any one without extreme patience and experience.,found mani bug norton internet secur profession recommend ani extrem patienc experi,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'security', 'norton', 'internet', 'experience']",-1,"{'extreme', 'professional'}",set(),[],-1
114,1.0,14.0,115.0,"It is buggy, slow and basically frustrates the heck out of the user.",buggi slow basic frustrat heck user,['user'],-1,{'slow'},set(),[],-1
115,1.0,14.0,116.0,"I am an IT professional and have used Norton for years, but this product is a complete and utter dud.",profession use norton year product complet utter dud,"['norton product', 'product', 'norton']",-1,{'complete'},set(),['complete utter'],1
119,1.0,15.0,120.0,Nothing spectacular is done by internet security or by antivirus software.,noth spectacular internet secur antivirus softwar,"['antivirus internet security', 'security software', 'software internet', 'internet security', 'antivirus security', 'antivirus internet', 'software', 'security', 'internet', 'antivirus']",-1,{'spectacular'},set(),['spectacular software'],1
123,1.0,17.0,124.0,I have had Norton Internet Security for 3 yrs and up graded to 2004 versionin August 2004.,norton internet secur yrs grade versionin august,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'security', 'norton', 'internet']",0,{'versionin'},set(),[],0
125,1.0,17.0,126.0,Im at full capacity!!!! I called Symantic and they said they don't know why but I should get Tech's Support at $35/hr to help!! I did call them and was on hold for 55 minutes untill I hung up!,m capac symant said not_know whi tech support $ hr help hold minut hung,"['tech support', 'tech minutes', 'tech', 'support', 'minutes', 'help']",-1,{'symantic'},set(),[],0
129,1.0,18.0,130.0,"There is little meaningful difference between the two versions aside from the tedius activation process, and the product is currently rather buggy and has problems running unless cleanly installed on a formatted drive.",littl meaning differ version asid tedius activ process product current buggi problem run clean instal format drive,"['product problems', 'installation problems', 'versions', 'product', 'process', 'problems', 'installation', 'drive']",-1,"{'meaningful', 'little', 'formatted'}",{'formatted'},['meaningful versions'],1
130,1.0,18.0,131.0,"If you are new to the market and looking to buy a symantec software product, save yourself some money and buy the 2003 version.",new market look buy symantec softwar product save money buy version,"['versions', 'symantec', 'software', 'product', 'money']",-1,{'new'},set(),['symantec product'],1
133,1.0,19.0,134.0,"From day one, we've had hangups, crashes, glitches, continual reboots, LONG shutdowns due to ""ccApp.exe"" program running which is a Norton program.",day ve hangup crash glitch continu reboot long shutdown ccapp.ex program run norton program,"['program norton', 'program', 'norton']",-1,"{'continual', 'long'}",set(),['long shutdowns'],-1
134,1.0,19.0,135.0,Long reboots due to Norton taking FOREVER  to boot.,long reboot norton forev     boot,['norton'],-1,{'long'},set(),[],-1
135,1.0,19.0,136.0,"We constantly got ""Windows Virtual Memory Low"" error messages popping up follwed by ridiculous slowdowns and/or crashes.",constant got window virtual memori low error messag pop follw ridicul slowdown and/or crash,"['windows', 'memory', 'error']",-1,"{'ridiculous', 'follwed', 'virtual', 'low'}",set(),[],-1
136,1.0,19.0,137.0,I don't have one good thing to say.,not_hav good thing,['thing'],0,"{'not_have', 'good'}",{'good'},[],1
138,1.0,19.0,139.0,Norton online support does not even acknowledge this problem nor does the computer company that preloaded it on our new computer.,norton onlin support doe not_even acknowledg problem doe comput compani preload new comput,"['norton problems', 'problems computer', 'support', 'problems', 'norton', 'computer', 'company']",-1,"{'online', 'new'}",{'online'},"['new computer', 'online support']",1
142,1.0,19.0,143.0,Norton support is completely pathetic.,norton support complet pathet,"['support', 'norton']",-1,{'pathetic'},set(),['pathetic support'],-1
145,1.0,19.0,146.0,We'd used Norton products like Internet Security 2003 forever with only rare troubles.,use norton product like internet secur forev onli rare troubl,"['norton internet security', 'norton security', 'norton product', 'internet security', 'norton internet', 'security', 'product', 'norton', 'internet']",0,{'rare'},set(),"['norton products', 'rare troubles']",1
148,1.0,19.0,149.0,I hope it's better than this hunk of junk Internet/AV 2004 package.,hope better hunk junk internet av packag,"['package', 'internet']",0,{'better'},set(),[],1
154,1.0,19.0,155.0,We were able to obtain a Norton Corporate Edition of Antivirus only (no firewall or utilities) and so far it's great.,abl obtain norton corpor edit antivirus onli not_firewal util far great,"['norton antivirus', 'norton', 'edition', 'antivirus']",1,"{'corporate', 'great'}",set(),"['corporate edition', 'norton edition']",1
155,1.0,19.0,156.0, I've used the Corporate edition at work without any problems ever.,    ve use corpor edit work ani problem,"['work problems', 'work', 'problems', 'edition']",1,{'corporate'},set(),['corporate edition'],0
157,1.0,19.0,158.0,"If we had been unable to obtain the Corporate edition, we would NOT have purchased another Norton 2004 or 2005 home version anything.",unabl obtain corpor edit not_hav purchas anoth norton home version anyth,"['versions norton', 'home versions', 'home norton', 'versions', 'norton', 'home', 'edition']",-1,"{'corporate', 'unable'}",set(),['corporate edition'],-1
160,1.0,19.0,161.0,"Our Norton Internet/AV 2004 was terrible right from the get go, so I'd think that if SytemWorks is ok now, it should remain ok.",norton internet av terribl right think sytemwork ok remain ok,"['norton internet', 'norton', 'internet']",-1,"{'ok', 'terrible'}",set(),[],-1
163,1.0,19.0,164.0,"By the way, I use the Norton 2003 Corporate at work with absolutely no trouble.",way use norton corpor work absolut not_troubl,"['work', 'way', 'norton']",1,{'corporate'},{'corporate'},['norton work'],0
164,1.0,19.0,165.0,"Likewise, I've heard Norton 2004 PROFESSIONAL version is fine too.",likewis ve heard norton profession version fine,"['versions norton', 'versions', 'norton']",1,"{'professional', 'fine'}",{'professional'},['professional version'],1
169,1.0,20.0,170.0,"I am an advanced computer user, so I cannot even imagine how a new or novice user would ever get this terrible program to work!",advanc comput user not_even imagin new novic user terribl program work,"['computer program', 'work', 'user', 'program', 'computer']",-1,"{'new', 'terrible', 'advanced'}","{'terrible', 'advanced'}",['terrible work'],-1
170,1.0,20.0,171.0,"After installing, the system froze trying to restart (this is a new computer with Windows XP Home).",instal system froze tri restart new comput window xp home,"['home computer', 'windows', 'system', 'installation', 'home', 'computer']",0,{'new'},set(),['new windows'],1
178,1.0,20.0,179.0,"After a recent update, I can no longer open more then 1 browser window.",recent updat not_long open browser window,"['windows', 'updates']",-1,{'recent'},set(),['recent update'],0
179,1.0,20.0,180.0,I've searched the program and their online tech support (worthless) and have found no solutions.,ve search program onlin tech support worthless found not_solut,"['tech support', 'tech', 'support', 'program']",-1,{'worthless'},"{'worthless', 'online'}",[],-1
180,1.0,20.0,181.0,"Again, I tried online email support.",tri onlin email support,"['support', 'email']",0,{'online'},{'online'},['online support'],0
182,1.0,20.0,183.0,I use the program like most other people - in DISABLED mode.,use program like peopl disabl mode,"['program', 'people']",0,{'disabled'},set(),['disabled mode'],-1
183,1.0,20.0,184.0,Eventually I will uninstall this troublesome bug-filled program.,eventu uninstal troublesom bug fill program,['program'],0,{'troublesome'},"{'filled', 'troublesome'}",[],1
191,1.0,23.0,192.0,Norton pops up a window about the intrusions and gives me as much detail as possible about where the intrusion is coming from.,norton pop window intrus detail possibl intrus come,"['windows', 'norton']",1,{'possible'},set(),['possible intrusion'],0
192,1.0,23.0,193.0,The popup blocker and anti-spam are bonuses.,popup blocker anti spam bonus,['popup'],1,{'anti'},set(),[],0
193,1.0,24.0,194.0,"Product is OK; however, despite the fact that I followed the rebate instructions explicitly, I am being denied the rebate because the processing agency incorrectly claims I did not send in proof of ownership of a previous product.",product ok howev despit fact follow rebat instruct explicit deni rebat becaus process agenc incorrect claim not_send proof ownership previous product,"['product', 'process', 'instructions']",0,{'previous'},set(),[],-1
196,1.0,25.0,197.0,"The only problem I had was a few components didn't quite load correctly upon startup, but a reboot fixed the problem.",onli problem compon not_quit load correct startup reboot fix problem,"['problems', 'components']",-1,set(),{'only'},[],0
197,1.0,25.0,198.0,"I had NIS 2003 and was very happy with it; this new version really doesn't seem to offer a lot of exciting new features, seems merely the same as 2003 dressed-up to look like a new version.",nis veri happi new version realli doe not_seem offer lot excit new featur mere dress look like new version,"['versions', 'nis', 'lot', 'feature']",0,"{'exciting', 'new'}",{'new'},"['exciting features', 'new version']",1
199,1.0,25.0,200.0,I give it 4-stars only because the installation process - or rather problems that may surface during the installation process - can be frustrating to the average computer user.,star onli becaus instal process problem surfac dure instal process frustrat averag comput user,"['installation problems', 'problems computer', 'user', 'star', 'process', 'problems', 'installation', 'computer']",-1,"{'frustrating', 'average'}",{'average'},['frustrating user'],-1
200,1.0,25.0,201.0,"If you experience problems with installation, you can visit symantec's website, click the support tab, click the 'home or home office support' and there is an automated support assistant that can scan the Norton program files on your computer and it will tell you what is not working right and how to fix it.",experi problem instal visit symantec websit click support tab click home home offic support autom support assist scan norton program file comput tell not_work right fix,"['program norton', 'norton problems', 'installation problems', 'home norton', 'computer program', 'problems computer', 'home computer', 'website', 'symantec', 'support', 'program', 'problems', 'norton', 'installation', 'home', 'files', 'experience', 'computer']",-1,{'right'},set(),"['symantec website', 'right fix']",1
203,1.0,25.0,204.0,"I already knew something was wrong, because much of the Spam I've seen in the past six months was from resellers of Norton products.",alreadi knew someth wrong becaus spam ve seen past month resel norton product,"['product past', 'norton product', 'product', 'past', 'norton', 'months']",-1,{'wrong'},set(),"['norton products', 'past months']",-1
204,1.0,25.0,205.0,For Norton to encourage Spammers by letting them sell their products is a very bad sign.,norton encourag spammer let sell product veri bad sign,"['norton product', 'product', 'norton']",0,{'bad'},set(),['bad sign'],-1
206,1.0,26.0,207.0,Mine installed no problem (but I DID uninstall my Norton Anti-Virus 2002 & Personal Firewall 2002 first).,instal not_problem uninstal norton anti virus person firewal,"['virus', 'norton', 'installation', 'firewall']",1,{'personal'},set(),['personal firewall'],0
209,1.0,27.0,210.0,I had Norton Internet Security 2003 and it worked great...one of the features that I liked was the user interface as well as the ad/pop-up blocking feature along w/the logs on internet usage.,norton internet secur work great featur like user interfac ad pop block featur w log internet usag,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'work', 'user', 'security', 'norton', 'internet', 'feature']",0,{'great'},set(),['great features'],1
210,1.0,27.0,211.0,"I read many reviews on Norton I.S. 2004 from a variety of sources (Cnet, Amazon, message boards) and came to the conclusion that NIS 04 was a terrible product and not worth the update.",read mani review norton i.s . varieti sourc cnet amazon messag board came conclus nis terribl product not_worth updat,"['norton product', 'updates', 'reviews', 'product', 'norton', 'nis', 'amazon']",-1,set(),{'terrible'},[],-1
212,1.0,27.0,213.0,There was a Verisign problem that conflicted w/Word and Excel and was posted on the Symantec site that affected computers.,verisign problem conflict w word excel post symantec site affect comput,"['problems computer', 'symantec', 'site', 'problems', 'computer']",0,{'verisign'},{'verisign'},['symantec site'],0
215,1.0,27.0,216.0,All of a sudden everything that reviewers were writing about NIS 2004 was happening to my computer.,sudden everyth review write nis happen comput,"['nis computer', 'reviews', 'nis', 'computer']",0,{'sudden'},set(),['sudden reviewers'],0
218,1.0,27.0,219.0,My file log was not responding and the program was not blocking any cookies or unauthorized sites.,file log not_respond program not_block ani cooki unauthor site,"['site', 'program', 'files']",-1,{'unauthorized'},set(),['unauthorized program'],0
219,1.0,27.0,220.0,After extensive researching on the Symantec site I broke down and called Symantec.,extens research symantec site broke symantec,"['symantec', 'site']",0,{'extensive'},set(),['symantec site'],0
220,1.0,27.0,221.0,"Again, every review written about the Tech Line is true...after waiting close to 45 minutes I finally spoke to a rep.",everi review written tech line true wait close minut final spoke rep,"['rep tech', 'tech minutes', 'tech', 'reviews', 'minutes']",-1,"{'close', 'true'}",set(),['close minutes'],1
223,1.0,27.0,224.0,They sent me a link to their website to follow instructions on ridding my registry of all Symantec products so I could get a clean re-install.,sent link websit follow instruct rid registri symantec product clean instal,"['website', 'symantec', 'registry', 'product', 'instructions', 'installation']",0,{'clean'},set(),['symantec products'],1
226,1.0,27.0,227.0,I did it and it was worse the second time around...unbelievable.,wors second time unbeliev,['time'],-1,"{'second', 'unbelievable', 'worse'}",{'second'},[],-1
233,1.0,28.0,234.0,"Although I disabled Norton AntiSpam, it is still there.",disabl norton antispam,"['norton', 'antispam']",-1,{'disabled'},set(),['norton antispam'],-1
234,1.0,28.0,235.0,"Every time I start Eudora, a message from AntiSpam pops up telling me that COM automation needs to be turned on for it to run properly.",everi time start eudora messag antispam pop tell com autom need turn run proper,"['time', 'antispam']",0,{'run'},set(),[],0
240,1.0,28.0,241.0,"Next, the big reason not to buy ANY Norton product:  If there's a problem with it, Norton charges $30 to even tell them about it.",big reason not_to buy ani norton product     problem norton charg $ tell,"['product problems', 'norton product', 'norton problems', 'product', 'problems', 'norton']",-1,{'big'},set(),['norton product'],0
246,1.0,30.0,247.0,The problems I had installing Norton extended way beyond what Symantec should reasonably expect the public to deal with.,problem instal norton extend way symantec reason expect public deal,"['norton problems', 'installation problems', 'way', 'symantec', 'problems', 'norton', 'installation']",-1,"{'public', 'extended'}",{'extended'},['extended way'],0
248,1.0,31.0,249.0,This is a very full featured product.,veri featur product,"['product', 'feature']",0,set(),{'full'},[],1
252,1.0,32.0,253.0,"I downloaded this set from Norton, and within minutes my Internet connection failed and my PC was almost dead due to registry problems from the download.",download set norton minut internet connect fail pc dead registri problem download,"['norton problems', 'pc internet', 'norton internet', 'registry', 'problems', 'pc', 'norton', 'minutes', 'internet']",-1,{'dead'},set(),['dead problems'],-1
255,1.0,32.0,256.0,Their site offers no live help at all.,site offer not_liv help,"['site', 'help']",-1,{'not_live'},{'not live'},['not_live help'],-1
256,1.0,32.0,257.0,"I tried to call Norton, and the only numbers they list on their sites are either for Non-tech Customer Service (tried this one and hung up after 75 minute of MUZAC) or they have a $30 tech-support number.",tri norton onli number list site non tech custom servic tri hung minut muzac $ tech support number,"['tech support', 'tech minutes', 'tech', 'support', 'site', 'service', 'number', 'norton', 'minutes', 'customer']",-1,{'hung'},set(),"['hung minute', 'norton numbers']",0
258,1.0,32.0,259.0,"I finally got a free support number for Norton through my ISP support staff, but waited an hour or more for a voice.",final got free support number norton isp support staff wait hour voic,"['support', 'number', 'norton', 'hours']",-1,{'free'},{'free'},"['free staff', 'norton isp']",1
259,1.0,32.0,260.0,"They said they would refund all the money, but a month later, they tell me now the back-up disc is not refundable as its cost is purely handling and shipping - $15 to ""handle"" and ship a CD? --and they have been indignant and combative on the phone and in emails.",said refund money month later tell disc not_refund cost pure handl ship $ handl ship cd --and indign combat phone email,"['months', 'money', 'email', 'costs']",-1,"{'not_refundable', 'indignant', 'combative'}",set(),['not_refundable cost'],0
260,1.0,32.0,261.0,This is a terrible company with a bad product and awful support.,terribl compani bad product aw support,"['support', 'product', 'company']",-1,"{'bad', 'terrible', 'awful'}","{'bad', 'awful'}",['awful support'],-1
261,1.0,32.0,262.0,"After 10 years, I now downloaded McCaffee's product after calling their support....they answered quickly, and for free, and were very helpful.",year download mccaffe product support answer quick free veri help,"['support', 'product', 'help']",-1,"{'free', 'helpful'}",set(),[],1
262,1.0,32.0,263.0,"No problems now, just a sickly disappointment in the way Norton has abandoned thier customers.",not_problem sick disappoint way norton abandon thier custom,"['way', 'norton', 'customer']",-1,{'sickly'},set(),['sickly disappointment'],-1
266,1.0,32.0,267.0,"It's a highly rated, KICK ASS firewall program that's bundled with the venerable Norton AntiVirus, plus extras (like Norton AntiSpam & Norton Parental Control) that make this security suite a must-have for people who have broadband internet access.",high rate kick ass firewal program bundl vener norton antivirus plus extra like norton antispam norton parent control secur suit peopl broadband internet access,"['norton internet security', 'norton antivirus security', 'antivirus internet security', 'norton antivirus internet', 'security program', 'norton security', 'program norton', 'internet security', 'internet program', 'norton internet', 'firewall internet', 'antivirus security', 'antivirus program', 'norton antivirus', 'antivirus internet', 'firewall antivirus', 'security', 'program', 'people', 'norton', 'internet', 'firewall', 'antivirus', 'antispam']",1,"{'venerable', 'parental'}",{'venerable'},"['norton suite', 'parental control']",0
267,1.0,32.0,268.0,Detractors should spend more time actually customizing the program to meet their needs instead of being lazy & complaining just for the hell of it.,detractor spend time actual custom program meet need instead lazi complain hell,"['time program', 'time', 'program', 'customer']",0,{'lazy'},{'more'},[],1
270,1.0,33.0,271.0,"If you are already using a previous version of nortron security and unistalled it to install the new version, you will still have all kind of problems in installing the new version on your system!",alreadi use previous version nortron secur unistal instal new version kind problem instal new version system,"['versions security', 'security system', 'installation problems', 'versions', 'system', 'security', 'problems', 'installation']",-1,"{'previous', 'new'}",{'previous'},[],-1
271,1.0,33.0,272.0,It seems like Symantec did a lousy job on this version.,like symantec lousi job version,"['versions', 'symantec']",0,{'lousy'},set(),['symantec version'],-1
272,1.0,33.0,273.0,"Luckly,with 3 rebates this product will cost me nothing! it is indeed worth nothing.",luck rebat product cost noth inde worth noth,"['product', 'costs']",1,{'luckly'},set(),['luckly rebates'],0
273,1.0,33.0,274.0,"To install that version you have to uninstall from the window registery anything called Symantec or Nortron,... also from the common files in the program folder the symantec folder has to be deleted.",instal version uninstal window registeri anyth symantec nortron common file program folder symantec folder delet,"['windows', 'versions', 'symantec', 'program', 'installation', 'folder', 'files']",-1,{'common'},set(),"['symantec nortron', 'symantec folder']",-1
274,1.0,33.0,275.0,"If you got stuck do what I did,search for any folder called symantec and delete it! then install that program(assuming you know what you are doing).",got stuck search ani folder symantec delet instal program(assum know,"['symantec', 'installation', 'folder']",0,"{'delete', 'stuck'}",set(),['symantec install'],0
275,1.0,33.0,276.0,"If you have no previous version of  nortron security on your system, or Nortron Antivirus, the installation will go fine, otherwise dig in and in to do a major registery clean up!the old programs will leave a trace that will mess up the new installation, even if you uninstalled the old programs perfectly.",not_previ version     nortron secur system nortron antivirus instal fine otherwis dig major registeri clean up!th old program leav trace mess new instal uninstal old program perfect,"['versions security', 'security system', 'security program', 'antivirus security', 'antivirus program', 'versions', 'system', 'security', 'program', 'installation', 'antivirus']",-1,"{'major', 'not_previous', 'new', 'old', 'fine', 'clean'}",{'not previous'},[],1
277,1.0,33.0,278.0,I've tried the free versions of zone alarm and the free version of sygate and they both have a nice and easy installation and work great!.,ve tri free version zone alarm free version sygat nice easi instal work great,"['work', 'versions', 'installation', 'alarm']",1,"{'nice', 'easy', 'great', 'free'}",{'free'},['free version'],1
282,1.0,34.0,283.0,"THEN all of a sudden when I restarted my pc, I couldn't get to anything in IE.",sudden restart pc not_get anyth ie,['pc'],0,{'sudden'},set(),['sudden not_get'],0
