,Product_ID,Review_ID,Sentence_ID,Sentence,Stemmed_Sentence,Clean_Sentence,Stemmed_Transactions,Opinion_Words,Infrequent_Opinions
10,1.0,2.0,11.0,"During install , NIS would either freeze or not NOT_reboot properly when asked to do so .",dure instal nis would either freez or not not_reboot proper when ask to do so,dure instal nis freez not_reboot proper ask,"['instal', 'ms']",set(),set()
11,1.0,2.0,12.0,"The MS scandisk would appear due to manual shutdown and would only scan to the 2nd bar , over and over(up to 1 hr , I then shut it down and used GOBACK ) .",the ms scandisk would appear due to manual shutdown and would onli scan to the 2nd bar over and over(up to hr i then shut it down and use goback,ms scandisk appear manual shutdown onli scan 2nd bar over(up hr shut use goback,"['goback', 'over(up', 'shutdown', 'pc', 'scandisk', 'way', 'pc']",set(),set()
12,1.0,2.0,13.0,"The 1 time it did install , it did not NOT_work and had errors , I used the unistall NIS icon and it properly removed itself .",the time it did instal it did not not_work and had error i use the unistal nis icon and it proper remov itself,time instal not_work error use unistal nis icon proper remov,"['unistal', 'com', 'ms', 'error', 'home']",set(),set()
13,1.0,2.0,14.0,I have never NOT_had this problem with any other software on my computer .,i have never not_had this problem with ani other softwar on my comput,not_had problem ani softwar comput,"['comput', 'softwar', 'problem']",set(),set()
14,1.0,2.0,15.0,NIS 2003 worked like a charm last year .,nis work like a charm last year,nis work like charm year,"['ms', 'alarm', 'star']",set(),set()
15,1.0,2.0,16.0,"Being a past Norton customer , I consider this to be a slap to my face .",be a past norton custom i consid this to be a slap to my face,past norton custom consid slap face,"['fact', 'custom', 'slap']",set(),set()
16,1.0,2.0,17.0,Buying software that can not NOT_be installed normally and being put into the position of having a non - working computer .,buy softwar that can not not_b instal normal and be put into the posit of have a non work comput,buy softwar not_b instal normal posit non work comput,"['comput', 'posit', 'buy', 'softwar']",set(),set()
17,1.0,2.0,18.0,"Norton has been on a downhill slid recently with their products , but with this one , they have fallen off the cliff .",norton has been on a downhil slid recent with their product but with this one they have fallen off the cliff,norton downhil slid recent product fallen cliff,"['norton', 'cliff', 'downhil', 'home', 'product']",set(),set()
18,1.0,3.0,19.0,"As a loyal customer of Norton / Symantec products , I purchased Internet Security 2004 as a software firewall and could not NOT_be any more dissatisfied with the product ( and hence the one star rating ) .",as a loyal custom of norton symantec product i purchas internet secur as a softwar firewal and could not not_b ani more dissatisfi with the product and henc the one star rate,loyal custom norton symantec product purchas internet secur softwar firewal not_b ani dissatisfi product henc star rate,"['firewal', 'norton', 'slap', 'custom', 'internet', 'rate', 'softwar', 'product', 'product', 'secur']","{'dissatisfied', 'loyal'}","{('dissatisfied', 'rating'), ('symantec', 'products'), ('norton', 'products')}"
19,1.0,3.0,20.0,Here 's why :,here 's whi,whi,[],set(),set()
20,1.0,4.0,21.0,Yeah - this program protects your computer all right - by locking you off the internet .,yeah this program protect your comput all right by lock you off the internet,yeah program protect comput right lock internet,"['comput', 'internet', 'program']",set(),set()
21,1.0,4.0,22.0,Anti - Spam is Good,anti spam is good,anti spam good,[],set(),set()
22,1.0,4.0,23.0,The latest of Internet Security has antispam function that is helpful because I has received a mountain of those these days .,the latest of internet secur has antispam function that is help becaus i has receiv a mountain of those these day,latest internet secur antispam function help becaus receiv mountain day,"['function', 'way', 'mountain', 'internet', 'secur', 'antispam']","{'latest', 'helpful'}","{('latest', 'function'), ('helpful', 'function')}"
23,1.0,4.0,24.0,Other than that it is all the same except the new updates .,other than that it is all the same except the new updat,new updat,['updat'],set(),set()
24,1.0,4.0,25.0,But that is good for me because Symantec softwares are a bit hard to master for me who are not NOT_savvy on computers .,but that is good for me becaus symantec softwar are a bit hard to master for me who are not not_savvi on comput,good becaus symantec softwar bit hard master not_savvi comput,"['comput', 'nis', 'softwar']","{'hard', 'good'}","{('symantec', 'softwares')}"
25,1.0,4.0,26.0,So far I have n't NOT_had so much complaints except that I still have n't NOT_mastered how to scandisk when using Internet Security .,so far i have n't not_had so much complaint except that i still have n't not_mast how to scandisk when use internet secur,far not_had complaint not_mast scandisk use internet secur,"['secur', 'internet', 'complaint']",set(),set()
26,1.0,5.0,27.0,Too bad the product is cumbersome and intertwined trying to do so much at one time .,too bad the product is cumbersom and intertwin tri to do so much at one time,bad product cumbersom intertwin tri time,"['product', 'home']","{'bad', 'cumbersome'}",set()
27,1.0,5.0,28.0,Sometimes a suite is not NOT_a good deal and all you get is a bundle of headaches .,sometim a suit is not not_a good deal and all you get is a bundl of headach,sometim suit not_a good deal bundl headach,"['bundl', 'day', 'site', 'headach']",set(),set()
28,1.0,6.0,29.0,"I 'm not NOT_sure why all the bad reviews , my computer is n't NOT_especially slowed down and I have Win'98 .",i m not not_sur whi all the bad review my comput is n't not_especi slow down and i have win'98,m not_sur whi bad review comput not_especi slow win'98,"['comput', 'review', ""win'98""]",set(),set()
29,1.0,6.0,30.0,"Sure , it slows it down a little , but that 's expected .",sure it slow it down a littl but that 's expect,sure slow littl expect,[],set(),set()
30,1.0,6.0,31.0,"Perhaps Semantic could work out the efficiency a little , but these reviews are highly exagerated ... I would ask what else these people are running on their computers ( ? )",perhap semant could work out the effici a littl but these review are high exager i would ask what els these peopl are run on their comput,perhap semant work effici littl review high exager ask els peopl run comput,"['comput', 'effici', 'peopl', 'semant', 'review']","{'little', 'semantic'}","{('semantic', 'efficiency')}"
31,1.0,6.0,32.0,I would ask what else these people are running on their computers ( ? ),i would ask what els these peopl are run on their comput,ask els peopl run comput,"['peopl', 'comput']",set(),set()
32,1.0,6.0,33.0,"So , if you have a fairly fast computer ( 1 gig or better ) with plenty of ram ( 512 ) and your not NOT_gaming online or running streaming video continually , you should be fine .",so if you have a fair fast comput gig or better with plenti of ram and your not not_gam onlin or run stream video continu you should be fine,fair fast comput gig better plenti ram not_gam onlin run stream video continu fine,"['comput', 'video', 'plenti', 'rep', 'nis']",set(),set()
33,1.0,6.0,34.0,"This is pretty standard for an up to date computer anymore , so what 's the fuss ?",this is pretti standard for an up to date comput anymor so what 's the fuss,pretti standard date comput anymor fuss,"['comput', 'fuss', 'rep', 'site']",set(),set()
34,1.0,7.0,35.0,I 've been using Norton Anti - Virus in its many incarnations for over 5 years .,i ve been use norton anti virus in it mani incarn for over year,ve use norton anti virus mani incarn year,"['star', 'virus', 'incarn', 'anti']",set(),set()
35,1.0,7.0,36.0,Norton Internet Security 2004 is one of the more buggy implementations .,norton internet secur is one of the more buggi implement,norton internet secur buggi implement,"['secur', 'internet', 'implement', 'norton']",set(),set()
36,1.0,7.0,37.0,Even for computer super - heros it 's a pain to maintain when there is a problem .,even for comput super hero it 's a pain to maintain when there is a problem,comput super hero pain maintain problem,"['comput', 'past', 'user', 'problem']",{'super'},"{('super', 'pain')}"
37,1.0,8.0,38.0,I also reviewed Norton System Works 2004 / Professional .,i also review norton system work profession,review norton system work profession,"['profession', 'system']",{'professional'},"{('norton', 'system')}"
38,1.0,8.0,39.0,This product has virtually all the same installation problems .,this product has virtual all the same instal problem,product virtual instal problem,"['problem', 'product', 'instal']",set(),set()
39,1.0,8.0,40.0,"For purposes of clarity , here is my review from that product , edited to be appropriate for this product , since , for the most part , they share many of the same problems .",for purpos of clariti here is my review from that product edit to be appropri for this product sinc for the most part they share mani of the same problem,purpos clariti review product edit appropri product sinc share mani problem,"['clariti', 'past', 'problem', 'review', 'product', 'purpos']",{'appropriate'},"{('appropriate', 'problems')}"
40,1.0,8.0,41.0,"Something happened with this release for Norton System Works ( 2004 ) and for "" Internet Security 2004 "" .",someth happen with this releas for norton system work and for internet secur,someth happen releas norton system work internet secur,"['releas', 'work', 'secur', 'system', 'internet']",set(),"{('norton', 'system')}"
41,1.0,8.0,42.0,This is the fourth version of SystemWorks and the second version of Internet Security that I have used and it has always been a favorite .,this is the fourth version of systemwork and the second version of internet secur that i have use and it has alway been a favorit,fourth version systemwork second version internet secur use alway favorit,"['systemwork', 'favorit', 'internet', 'version', 'secur']","{'second', 'fourth'}","{('second', 'version')}"
42,1.0,8.0,43.0,"It has saved my system on more than one occasion , and makes disc clean up a snap .",it has save my system on more than one occas and make disc clean up a snap,save system occas disc clean snap,"['slap', 'disc', 'system', 'occas']",{'clean'},"{('clean', 'snap')}"
43,1.0,8.0,44.0,"The antivirus feature is phenomenal , and is regularly updated .",the antivirus featur is phenomen and is regular updat,antivirus featur phenomen regular updat,"['featur', 'antivirus']",{'phenomenal'},set()
44,1.0,8.0,45.0,"I think their antivirus software was one of , if not NOT_the best , on the",i think their antivirus softwar was one of if not not_th best on the,think antivirus softwar not_th best,"['antivirus', 'softwar']",set(),set()
45,1.0,8.0,46.0,"Well , no NOT_more .",well no not_mor,not_mor,[],set(),set()
46,1.0,8.0,47.0,"This version of Internet Security 2004 , is beyond hope .",this version of internet secur is beyond hope,version internet secur hope,"['secur', 'home', 'internet', 'version']",set(),set()
47,1.0,8.0,48.0,"They are a royal pain to install , and do n't NOT_function properly once finally installed -- if you can install them at all .",they are a royal pain to instal and do n't not_funct proper onc final instal if you can instal them at all,royal pain instal not_funct proper onc final instal instal,['past'],set(),set()
48,1.0,8.0,49.0,The biggest problem is the installation .,the biggest problem is the instal,biggest problem instal,"['instal', 'problem']",{'biggest'},"{('biggest', 'installation')}"
49,1.0,8.0,50.0,"Also if you do manage to get it installed , any problems with LiveUpdate or with System Works will also affect the functionality and/or the process of updating Internet Security .",also if you do manag to get it instal ani problem with liveupd or with system work will also affect the function and/or the process of updat internet secur,manag instal ani problem liveupd system work affect function and/or process updat internet secur,"['liveupd', 'work', 'secur', 'process', 'function', 'problem', 'system', 'internet']",set(),set()
50,1.0,8.0,51.0,"I 've had to install and uninstall them four or five times so far , and I 've not NOT_to get either product working properly .",i ve had to instal and uninstal them four or five time so far and i ve not not_to get either product work proper,ve instal uninstal time far ve not_to product work proper,"['time', 'product']",{'uninstall'},"{('uninstall', 'times')}"
51,1.0,8.0,52.0,Why they brought this to market is beyond me .,whi they brought this to market is beyond me,whi brought market,['market'],set(),set()
52,1.0,8.0,53.0,"First , it serious , serious installation problems .",first it serious serious instal problem,instal problem,"['problem', 'instal']",set(),set()
53,1.0,8.0,54.0,"Back in May 2004 , when I first reviewed this , it had taken me over 16 hours to install and run .",back in may when i first review this it had taken me over hour to instal and run,review taken hour instal run,"['hour', 'ms']",set(),set()
54,1.0,8.0,55.0,"Since then , I have had one problem after another .",sinc then i have had one problem after anoth,sinc problem anoth,['problem'],set(),set()
55,1.0,8.0,56.0,"To say that it is "" buggy "" would be the world 's most profound understatement .",to say that it is buggi would be the world 's most profound understat,buggi world profound understat,"['work', 'understat', 'buggi']",set(),set()
56,1.0,8.0,57.0,"Almost from the beginning , LiveUpdate would not NOT_function .",almost from the begin liveupd would not not_funct,begin liveupd not_funct,"['liveupd', 'begin']",set(),set()
57,1.0,8.0,58.0,"First , it failed whenever connecting to get updates .",first it fail whenev connect to get updat,fail whenev connect updat,['updat'],set(),set()
58,1.0,8.0,59.0,"When I finally got it working , it only worked properly for many a month .",when i final got it work it onli work proper for mani a month,final got work onli work proper mani month,['money'],set(),set()
59,1.0,8.0,60.0,"The next problem was that it did n't NOT_recognize all the installed components , so it would not NOT_update them , most notably and importantly , virus definitions .",the next problem was that it did n't not_recogn all the instal compon so it would not not_upd them most notabl and import virus definit,problem not_recogn instal compon not_upd notabl import virus definit,"['virus', 'definit', 'compon', 'problem']",set(),set()
60,1.0,8.0,61.0,"Without this important feature , both SystemWorks and Internet Security are all but useless .",without this import featur both systemwork and internet secur are all but useless,import featur systemwork internet secur useless,"['secur', 'systemwork', 'featur', 'internet']","{'useless', 'important'}",set()
61,1.0,8.0,62.0,"Without updated virus definiations , your PC is also at serious risk !",without updat virus defini your pc is also at serious risk,updat virus defini pc risk,"['disc', 'definit', 'virus', 'pc']",set(),set()
62,1.0,8.0,63.0,"Once installed , however , some of the functions do work OK ( Disk Doctor , One Button Checkup , and WinDoctor ) .",onc instal howev some of the function do work ok disk doctor one button checkup and windoctor,onc instal howev function work ok disk doctor button checkup windoctor,"['button', 'function', 'checkup', 'windoctor', 'disc', 'doctor']",{'ok'},"{('ok', 'button')}"
63,1.0,8.0,64.0,"These tasks are faster and easier than in prior versions , and I found the menu to be much more navigable .",these task are faster and easier than in prior version and i found the menu to be much more navig,task faster easier prior version found menu navig,"['menu', 'task', 'version']",set(),set()
64,1.0,8.0,65.0,"But this does n't NOT_make up for it 's innumerable other short - comings , the biggest of which is the inability to download any updates due to problems with LiveUpdate .",but this doe n't not_mak up for it 's innumer other short come the biggest of which is the inabl to download ani updat due to problem with liveupd,doe not_mak innumer short come biggest inabl download ani updat problem liveupd,"['updat', 'liveupd', 'come', 'problem', 'inabl']",set(),set()
65,1.0,8.0,66.0,The other annoyance with this that you have to remove every single remnant of previous version of Norton SystemWorks before you installs this .,the other annoy with this that you have to remov everi singl remnant of previous version of norton systemwork befor you instal this,annoy remov everi singl remnant previous version norton systemwork befor instal,"['norton', 'systemwork', 'remnant', 'version', 'annoy']","{'remnant', 'single', 'previous'}","{('previous', 'version')}"
66,1.0,8.0,67.0,"Warning ! The Windows "" remove program "" feature does not NOT_do a good job of this , and neither does Norton 's own removal program .",warn the window remov program featur doe not not_do a good job of this and neither doe norton 's own remov program,warn window remov program featur doe not_do good job doe norton remov program,"['window', 'featur', 'remov', 'norton', 'com', 'program']",{'good'},"{('good', 'job')}"
67,1.0,8.0,68.0,"A lot of "" fragments "" were left in the Registry , and it the Norton system folders .",a lot of fragment were left in the registri and it the norton system folder,lot fragment left registri norton system folder,"['folder', 'fragment', 'com', 'registri', 'system']",set(),"{('norton', 'system')}"
68,1.0,8.0,69.0,"Their website had a download that helped remove those , although I had to manually remove a good number of files from the "" Programs "" directory .",their websit had a download that help remov those although i had to manual remov a good number of file from the program directori,websit download help remov manual remov good number file program directori,"['websit', 'number', 'file', 'directori', 'program', 'download']",{'good'},"{('good', 'files')}"
69,1.0,8.0,70.0,"If you have an older version of "" Internet Security "" installed , you may also need to remove it as well before proceeding with SystemWorks install .",if you have an older version of internet secur instal you may also need to remov it as well befor proceed with systemwork instal,older version internet secur instal need remov befor proceed systemwork instal,"['secur', 'systemwork', 'internet', 'version']",{'older'},"{('older', 'security')}"
70,1.0,8.0,71.0,You also need to go in and MANUALLY remove many Symantec files from the REGISTRY .,you also need to go in and manual remov mani symantec file from the registri,need manual remov mani symantec file registri,"['registri', 'file']",set(),"{('symantec', 'files')}"
71,1.0,8.0,72.0,( Intructions for doing so are on Symantecs website . ),intruct for do so are on symantec websit,intruct symantec websit,"['websit', 'intruct', 'symantec']",set(),set()
72,1.0,8.0,73.0,"Even this , however , did not NOT_solve my problems .",even this howev did not not_solv my problem,howev not_solv problem,['problem'],set(),set()
73,1.0,8.0,74.0,"As of October , 2004 , these products are NOT NOT_working and I 'm ready to demand a refund from Symantec .",as of octob these product are not not_work and i m readi to demand a refund from symantec,octob product not_work m readi demand refund symantec,"['symantec', 'product', 'octob', 'refund']",{'ready'},set()
74,1.0,8.0,75.0,I just uninstalled SystemWorks and Internet Security for at least the fifth time due to funtionality issues .,i just uninstal systemwork and internet secur for at least the fifth time due to funtion issu,uninstal systemwork internet secur fifth time funtion issu,"['issu', 'systemwork', 'funtion', 'home', 'internet', 'secur']",{'fifth'},"{('fifth', 'time')}"
75,1.0,8.0,76.0,"Once again it wo n't NOT_reinstall , even with online and email assistance from Symantect Technicians .",onc again it wo n't not_reinstal even with onlin and email assist from symantect technician,onc wo not_reinstal onlin email assist symantect technician,"['technician', 'assist', 'symantect', 'email']",{'online'},"{('online', 'assistance')}"
76,1.0,8.0,77.0,"The best thing to do with this version , is to leave it on the store shelf . It does n't NOT_work , and will cost you an enormous amount of your time , not NOT_to mention your hard earned dollars .",the best thing to do with this version is to leav it on the store shelf it doe n't not_work and will cost you an enorm amount of your time not not_to mention your hard earn dollar,best thing version leav store shelf doe not_work cost enorm time not_to mention hard earn dollar,"['thing', 'star', 'home', 'help', 'amount', 'version', 'dollar']","{'enormous', 'best'}","{('best', 'version'), ('enormous', 'time')}"
77,1.0,8.0,78.0,"Personally , I may never NOT_buy Symantect products again .",person i may never not_buy symantect product again,person not_buy symantect product,['product'],set(),set()
78,1.0,8.0,79.0,And that 's a shame .,and that 's a shame,shame,['home'],set(),set()
79,1.0,8.0,80.0,They use to be so useful and neceesary .,they use to be so use and neceesari,use use neceesari,[],set(),set()
80,1.0,8.0,81.0,No NOT_longer .,no not_long,not_long,[],set(),set()
81,1.0,8.0,82.0,Avoid this product at all costs .,avoid this product at all cost,avoid product cost,"['product', 'cost']",set(),set()
82,1.0,9.0,83.0,Antagonising,antagonis,antagonis,[],set(),set()
83,1.0,9.0,84.0,"There are some highs to the 2004 edition , but mostly lows .",there are some high to the edit but most low,high edit low,"['high', 'edit']",set(),set()
84,1.0,9.0,85.0,"The program brings more problems than a virus , albeit not NOT_as major problems , just not NOT_what you expect for 70 bucks .",the program bring more problem than a virus albeit not not_a major problem just not not_what you expect for buck,program bring problem virus albeit not_a major problem not_what expect buck,"['virus', 'problem', 'program', 'buck']",{'major'},"{('major', 'problems')}"
85,1.0,10.0,86.0,"I had a question about the pros and cons of turning off the Norton firewall vs. the windows firewall , and waited 45 minutes to speak with a tech support representative because I did not NOT_have a "" customer priority ID number . """,i had a question about the pros and con of turn off the norton firewal vs. the window firewal and wait minut to speak with a tech support repres becaus i did not not_hav a custom prioriti id number,question pros con turn norton firewal vs. window firewal wait minut speak tech support repres becaus not_hav custom prioriti d number,"['proof', 'firewal', 'window', 'support', 'question', 'prioriti', 'pc', 'one', 'number', 'minut', 'custom', 'tech', 'pc', 'repres']",set(),"{('norton', 'firewall')}"
86,1.0,10.0,87.0,"Then when I went to Norton 's website to obtain a priority ID number per the instructions I had been given , I could n't NOT_find a way to get one .",then when i went to norton 's websit to obtain a prioriti id number per the instruct i had been given i could n't not_find a way to get one,went norton websit obtain prioriti d number instruct given not_find way,"['websit', 'norton', 'number', 'pc', 'instruct', 'pc', 'prioriti', 'way']",set(),"{('norton', 'website')}"
87,1.0,10.0,88.0,"So I e - mailed the online tech support with that simple question , and got a reply which was totally unresponsive ( it looked as though they did n't NOT_actually read the e - mail and just sent back a few boilerplate paragraphs ) .",so i e mail the onlin tech support with that simpl question and got a repli which was total unrespons it look as though they did n't not_actu read the e mail and just sent back a few boilerpl paragraph,e mail onlin tech support simpl question got repli total unrespons look not_actu read e mail sent boilerpl paragraph,"['support', 'question', 'email', 'rep', 'tech', 'paragraph', 'one', 'boilerpl']","{'online', 'unresponsive', 'simple'}","{('simple', 'question')}"
88,1.0,10.0,89.0,"And , when you think about it , it 's insulting that Norton requires its customers to jump through these hoops -- anyone who can provide proof of purchase , whether on the phone or online ( what if your computer is down ? ) , should have equal priority .",and when you think about it it 's insult that norton requir it custom to jump through these hoop anyon who can provid proof of purchas whether on the phone or onlin what if your comput is down should have equal prioriti,think insult norton requir custom jump hoop anyon provid proof purchas phone onlin comput equal prioriti,"['proof', 'norton', 'hour', 'comput', 'custom', 'purchas', 'home', 'prioriti']",{'equal'},"{('equal', 'priority')}"
89,1.0,10.0,90.0,"I may not NOT_be a computer expert but I am perfectly capable of following detailed instructions , and Norton just makes life way too hard .",i may not not_b a comput expert but i am perfect capabl of follow detail instruct and norton just make life way too hard,not_b comput expert perfect capabl follow detail instruct norton life way hard,"['expert', 'norton', 'comput', 'instruct', 'time']","{'capable', 'detailed'}","{('detailed', 'instructions')}"
90,1.0,10.0,91.0,"Plus , when Norton provided online updates , there were so many unexplained categories ( about 15 over and above virus definitions )",plus when norton provid onlin updat there were so mani unexplain categori about over and abov virus definit,plus norton provid onlin updat mani unexplain categori abov virus definit,"['updat', 'categori', 'norton', 'definit', 'virus']","{'unexplained', 'online'}","{('unexplained', 'categories'), ('online', 'updates')}"
91,1.0,10.0,92.0,I was totally baffled .,i was total baffl,total baffl,[],set(),set()
92,1.0,11.0,93.0,I originally had bought Norton Internet Security for my laptop after the preinstalled Norton Antivirus trial had finished .,i origin had bought norton internet secur for my laptop after the preinstal norton antivirus trial had finish,origin bought norton internet secur laptop preinstal norton antivirus trial finish,"['antivirus', 'norton', 'laptop', 'trial', 'internet', 'secur']",set(),set()
93,1.0,11.0,94.0,The hardest part was the run around with what software suite to buy .,the hardest part was the run around with what softwar suit to buy,hardest run softwar suit buy,"['past', 'site', 'softwar', 'rep']",set(),set()
94,1.0,11.0,95.0,This package contains BOTH Norton Antivirus and Firewall .,this packag contain both norton antivirus and firewal,packag contain norton antivirus firewal,"['firewal', 'antivirus', 'packag']",set(),"{('norton', 'firewall')}"
95,1.0,11.0,96.0,The only reason I 'd buy them separately in the combo package is for two liecenses .,the onli reason i 'd buy them separ in the combo packag is for two liecens,onli reason buy separ combo packag liecens,"['liecens', 'reason', 'packag', 'com']",set(),set()
96,1.0,11.0,97.0,If you want integrated Antivirus and Firewall this is what I 'd suggest .,if you want integr antivirus and firewal this is what i 'd suggest,want integr antivirus firewal suggest,"['firewal', 'antivirus']",{'integrated'},"{('integrated', 'firewall')}"
97,1.0,11.0,98.0,Norton 's memory usage on systems with 512 MB is very low .,norton 's memori usag on system with mb is veri low,norton memori usag system mb veri low,"['pc', 'norton', 'usag', 'memori', 'system']",{'low'},"{('norton', 'systems')}"
98,1.0,11.0,99.0,It usually only takes 5 - 10 MB 's of system memory .,it usual onli take mb 's of system memori,usual onli mb system memori,"['pc', 'system', 'memori']",set(),set()
99,1.0,11.0,100.0,I just got an older 866 Mhz system with 512 PC 133 RAM and it also runs fine on that .,i just got an older mhz system with pc ram and it also run fine on that,got older mhz system pc ram run fine,"['ms', 'rep', 'system', 'pc']","{'fine', 'older'}","{('older', 'mhz')}"
100,1.0,11.0,101.0,Both the antivirus and firewall are integrated into one piece of software and they update together .,both the antivirus and firewal are integr into one piec of softwar and they updat togeth,antivirus firewal integr piec softwar updat togeth,"['piec', 'firewal', 'antivirus', 'softwar']",set(),set()
101,1.0,11.0,102.0,You wo n't NOT_need to update your firewall and antivirus separately or install two disks .,you wo n't not_ne to updat your firewal and antivirus separ or instal two disk,wo not_ne updat firewal antivirus separ instal disk,"['firewal', 'disc', 'antivirus']",set(),set()
102,1.0,11.0,103.0,The best part of the firewall is the visual backtracking .,the best part of the firewal is the visual backtrack,best firewal visual backtrack,"['firewal', 'past', 'backtrack']",set(),set()
103,1.0,11.0,104.0,An infected computer tried to launch an attack on mine and I was able to get a map and address of the server .,an infect comput tri to launch an attack on mine and i was abl to get a map and address of the server,infect comput tri launch attack abl map address server,"['one', 'rep', 'comput', 'server', 'address', 'attack']",set(),set()
104,1.0,12.0,105.0,"I had the best intentions when I bought this , I really did .",i had the best intent when i bought this i realli did,best intent bought realli,['intent'],set(),set()
105,1.0,12.0,106.0,I followed the instructions to the letter .,i follow the instruct to the letter,follow instruct letter,"['letter', 'instruct']",set(),set()
106,1.0,12.0,107.0,But it caused more headaches than I could imagine .,but it caus more headach than i could imagin,caus headach imagin,['headach'],set(),set()
107,1.0,12.0,108.0,Stay away from this product !,stay away from this product,stay away product,['product'],set(),set()
108,1.0,12.0,109.0,"I do n't NOT_know what 's happened to Norton , but 2004 is absolute garbage .",i do n't not_know what 's happen to norton but is absolut garbag,not_know happen norton absolut garbag,"['garbag', 'norton']",{'absolute'},"{('norton', 'garbage')}"
109,1.0,12.0,110.0,"Apparently , they ca n't NOT_even fix the bugs that have overrun their own site .",appar they ca n't not_even fix the bug that have overrun their own site,appar not_even fix bug overrun site,"['time', 'bug']",set(),set()
110,1.0,12.0,111.0,The customer support is pathetic .,the custom support is pathet,custom support pathet,"['custom', 'support']",{'pathetic'},set()
111,1.0,13.0,112.0,I have found too many bugs in Norton Internet Security Professional to recommend it to any one without extreme patience and experience .,i have found too mani bug in norton internet secur profession to recommend it to ani one without extrem patienc and experi,found mani bug norton internet secur profession recommend ani extrem patienc experi,"['experi', 'bug', 'home', 'internet', 'patienc', 'secur']","{'extreme', 'professional'}",set()
112,1.0,14.0,113.0,"Okay , how can I say this nicely ?",okay how can i say this nice,okay nice,[],set(),set()
113,1.0,14.0,114.0,This product is absolutely not NOT_ready for release .,this product is absolut not not_readi for releas,product absolut not_readi releas,"['product', 'releas']",set(),set()
114,1.0,14.0,115.0,"It is buggy , slow and basically frustrates the heck out of the user .",it is buggi slow and basic frustrat the heck out of the user,buggi slow basic frustrat heck user,"['user', 'tech', 'buggi']",{'slow'},set()
115,1.0,14.0,116.0,"I am an IT professional and have used Norton for years , but this product is a complete and utter dud .",i am an it profession and have use norton for year but this product is a complet and utter dud,profession use norton year product complet utter dud,"['star', 'product', 'up', 'norton']",{'complete'},"{('complete', 'utter')}"
116,1.0,15.0,117.0,Norton has a name in the market but I think it 's only the name .,norton has a name in the market but i think it 's onli the name,norton market think onli,"['market', 'home', 'norton']",set(),set()
117,1.0,15.0,118.0,It 's a rip off if one buys Norton Internet Security and antivirus .,it 's a rip off if one buy norton internet secur and antivirus,rip buy norton internet secur antivirus,"['secur', 'rep', 'internet', 'antivirus']",set(),"{('norton', 'antivirus')}"
118,1.0,15.0,119.0,The former hogs memory and it takes ages for the computer to start .,the former hog memori and it take age for the comput to start,hog memori age comput start,"['one', 'comput', 'home', 'memori']",set(),set()
119,1.0,15.0,120.0,Nothing spectacular is done by internet security or by antivirus software .,noth spectacular is done by internet secur or by antivirus softwar,noth spectacular internet secur antivirus softwar,"['secur', 'internet', 'antivirus', 'softwar']",{'spectacular'},"{('spectacular', 'software')}"
